state,year,quarter,name,count,amount
arunachal-pradesh,2023,2,Peer-to-peer payments,4883817,15695323405.0
arunachal-pradesh,2023,2,Merchant payments,4091876,3651614280.0
arunachal-pradesh,2023,2,Recharge & bill payments,1374689,447452168.0
arunachal-pradesh,2023,2,Financial Services,3392,5815474.0
arunachal-pradesh,2023,2,Others,6714,5493337.0
arunachal-pradesh,2023,3,Peer-to-peer payments,5889357,16351752522.0
arunachal-pradesh,2023,3,Merchant payments,5451474,4277046551.0
arunachal-pradesh,2023,3,Recharge & bill payments,1450780,482412481.0
arunachal-pradesh,2023,3,Financial Services,4825,11365670.0
arunachal-pradesh,2023,3,Others,5997,4813862.0
arunachal-pradesh,2023,4,Peer-to-peer payments,6678381,18554712209.0
arunachal-pradesh,2023,4,Merchant payments,6435278,5043099494.0
arunachal-pradesh,2023,4,Recharge & bill payments,1491471,515181105.0
arunachal-pradesh,2023,4,Financial Services,5573,11079378.0
arunachal-pradesh,2023,4,Others,7039,4727608.0
arunachal-pradesh,2024,1,Merchant payments,7491171,5669482843.0
arunachal-pradesh,2024,1,Peer-to-peer payments,7238315,19793142980.0
arunachal-pradesh,2024,1,Recharge & bill payments,1664938,568014875.0
arunachal-pradesh,2024,1,Financial Services,6408,13072238.0
arunachal-pradesh,2024,1,Others,5582,3331540.0
arunachal-pradesh,2024,2,Merchant payments,9567105,6815204405.0
arunachal-pradesh,2024,2,Peer-to-peer payments,8120757,22271137791.0
arunachal-pradesh,2024,2,Recharge & bill payments,1776684,595957635.0
arunachal-pradesh,2024,2,Financial Services,7896,20769976.0
arunachal-pradesh,2024,2,Others,5930,3281823.0
arunachal-pradesh,2024,3,Merchant payments,12464040,7709848647.0
arunachal-pradesh,2024,3,Peer-to-peer payments,10083155,23214155044.0
arunachal-pradesh,2024,3,Recharge & bill payments,1886589,653172013.0
arunachal-pradesh,2024,3,Financial Services,8170,21220623.0
arunachal-pradesh,2024,3,Others,5188,3560378.0
arunachal-pradesh,2024,4,Merchant payments,14117429,8515314488.0
arunachal-pradesh,2024,4,Peer-to-peer payments,10758583,25848886063.0
arunachal-pradesh,2024,4,Recharge & bill payments,1886780,695358159.0
arunachal-pradesh,2024,4,Financial Services,25593,16838759.0
arunachal-pradesh,2024,4,Others,5072,3489404.0
assam,2018,1,Recharge & bill payments,632092,93491181.14
assam,2018,1,Peer-to-peer payments,318025,993525195.98
